name,role,sentence,true_role
Rovers,Author,"Success here, and victory home to Leicester in the next round, could see Rovers in the semi-finals without having played Premiership opposition. 
 ",unknown
Premiership,Author,"Success here, and victory home to Leicester in the next round, could see Rovers in the semi-finals without having played Premiership opposition. 
 ",unknown
Blackburn,Author,"- BURNLEY make the eight mile journey to their fierce rivals, determined to send Blackburn the same way as Liverpool in the third round.",unknown
Burnley,Author,"Having said that, Burnley are yet to concede a goal in this Cup run. 
 ",unknown
Premiership Fulham,Author,"That was in the season before last, when they disposed of Premiership Fulham at this fifth round stage. 
 ",unknown
Blackburn,Author,"While Blackburn have not played since the fifth round tie, Burnley have had two League outings away from home, drawing 1-1 at Derby and losing 1-0 at Preston.",unknown
Diamound Multimedia,Author,"The Tivo personal video recorder is the newest device to make the top 10, which also includes the first flash mp3 player (Diamound Multimedia), as well as the first ""successful"" digital camera (Casio QV-10) and mobile phone (Motorola Startac).",unknown
Madonna,Musician,"""Who can forget the crystalline, hiss-free blast of Madonna's Like A Virgin emenating from their first CD player?"" asked the magazine.",unknown
Karl Elsener's,Author,"Karl Elsener's knife, the Swiss Army Knife from 1891, is at number 20 in the list.",unknown
Tamagotchi,Author,"The list also contains plenty of oddities: the Pez sweet dispenser (98th), 1980s toy Tamagotchi (86th) and the bizarre Ronco inside the shell egg scrambler (84th).

",unknown
Ronco,Author,"The list also contains plenty of oddities: the Pez sweet dispenser (98th), 1980s toy Tamagotchi (86th) and the bizarre Ronco inside the shell egg scrambler (84th).

",unknown
tinny,Author,The Casio pocket calculator that played a simple game and made tinny noises was also a hot gadget in 1980.,unknown
Slater,Film Actor,"Slater to star in Broadway play

Actor Christian Slater is stepping into the role of Tom in the Broadway revival of The Glass Menagerie.

",unknown
Christian Slater,Film Actor,"Slater to star in Broadway play

Actor Christian Slater is stepping into the role of Tom in the Broadway revival of The Glass Menagerie.

",unknown
Tom,Film Actor,"Slater to star in Broadway play

Actor Christian Slater is stepping into the role of Tom in the Broadway revival of The Glass Menagerie.

",unknown
Slater,Film Actor,"Slater, 35, is replacing actor Dallas Roberts in the Tennessee Williams drama, which opens next month.",unknown
Dallas Roberts,Film Actor,"Slater, 35, is replacing actor Dallas Roberts in the Tennessee Williams drama, which opens next month.",unknown
Williams,Film Actor,"Slater, 35, is replacing actor Dallas Roberts in the Tennessee Williams drama, which opens next month.",unknown
Roberts,Author,No reason was given for Roberts' departure.,unknown
Joey Collins,Author,The role will be played by understudy Joey Collins until Slater joins the show.,unknown
Slater,Author,The role will be played by understudy Joey Collins until Slater joins the show.,unknown
Slater,Film Actor,"Slater won rave reviews for his recent performance in One Flew Over the Cuckoo's Nest in London's West End.

",unknown
Robin Hood,Film Actor,"He has also starred in a number of films, including Heathers, Robin Hood: Prince of Thieves and more recently Churchill: The Hollywood Years.",unknown
Churchill,Film Actor,"He has also starred in a number of films, including Heathers, Robin Hood: Prince of Thieves and more recently Churchill: The Hollywood Years.",unknown
Philip Rinaldi,Author,"Philip Rinaldi, a spokesman for the show, said the play's 15 March opening date remains unchanged.",unknown
David Leveaux,Film Actor,"The revival, directed by David Leveaux, will also star Jessica Lange as the domineering mother, Amanda Wingfield.",unknown
Jessica Lange,Film Actor,"The revival, directed by David Leveaux, will also star Jessica Lange as the domineering mother, Amanda Wingfield.",unknown
Amanda Wingfield,Film Actor,"The revival, directed by David Leveaux, will also star Jessica Lange as the domineering mother, Amanda Wingfield.",unknown
Sam Younger,Author,"Electoral Commission boss Sam Younger said: ""We know that young people often feel disengaged from democratic life and we believe in working creatively to encourage their interest and participation.",unknown
Michael Rafferty,Author,"Michael Rafferty, who is mock elections project manager at the Hansard Society, said he looked forward to seeing schools and colleges across the UK participating in the mock votes.",unknown
Gross,Author,"Gross domestic product (GDP) rose by 1.7% last year, the statistical office said.",unknown
Stefan Schilbe,Author,"""During 2004 we profited from the fact that the world economy was strong,"" said Stefan Schilbe, analyst at HSBC Trinkaus & Burkhardt.",unknown
DaimlerChrysler,Business Executive,"Major companies including Volkswagen, DaimlerChrysler and Siemens have spent much of 2004 in tough talks with unions about trimming jobs and costs.",unknown
Sandvine,Author,"The 9 November traffic explosion has continued into December, said Sandvine.",unknown
Halo 2,Author,"As well as being a popular single-player title, Halo 2 can be connected to Microsoft's subscription-based broadband network, Xbox Live.",unknown
Sandvine,Author,"But the surge in numbers and huge demands for bandwidth should be a wake-up call to the industry which must ensure that their networks can cope with the increases in traffic, said Sandvine's chief technology officer Marc Morin.

",unknown
Marc Morin,Author,"But the surge in numbers and huge demands for bandwidth should be a wake-up call to the industry which must ensure that their networks can cope with the increases in traffic, said Sandvine's chief technology officer Marc Morin.

",unknown
Lindsay Schroth,Author,"Analysing traffic will become increasingly important for service providers if they are to hold on to bandwidth-hungry gamers said Lindsay Schroth, an analyst with research firm The Yankee Group.",unknown
Supernanny,TV Personality,"Homegrown reality programmes dominated that category, including Channel 4's Supernanny and ITV1's Hell's Kitchen.",unknown
Cohen,TV Personality,"Little Britain, which is now in its second series, faces competition from BBC Two's The Catherine Tate Show and Sacha Baron Cohen's creations Borat and Bruno.",unknown
Borat,TV Personality,"Little Britain, which is now in its second series, faces competition from BBC Two's The Catherine Tate Show and Sacha Baron Cohen's creations Borat and Bruno.",unknown
Bruno,TV Personality,"Little Britain, which is now in its second series, faces competition from BBC Two's The Catherine Tate Show and Sacha Baron Cohen's creations Borat and Bruno.",unknown
Lenny Henry,TV Personality,"Lenny Henry, who won a Golden Rose for his In Pieces series in 2001, picks up another nomination for his recent BBC show.",unknown
Agatha Christie,TV Personality,"The BBC leads the way with its programmes on The Sound of Music, Agatha Christie and Rolf On Art - The Big Event - which saw Harris lead an effort to produce a life-size painting in London's Trafalgar Square.

",unknown
Harris,TV Personality,"The BBC leads the way with its programmes on The Sound of Music, Agatha Christie and Rolf On Art - The Big Event - which saw Harris lead an effort to produce a life-size painting in London's Trafalgar Square.

",unknown
Golden Rose,TV Personality,"Previous UK winners have included Ant & Dec's Saturday Night Takeaway, Pop Idol, Channel 4 show Faking It and comedy duo French and Saunders, who became the first winners to receive and honorary Golden Rose.",unknown
Shane Richie,TV Personality,Last year actor Shane Richie won an award for his portrayal of Alfie Moon in EastEnders.,unknown
Ian Gunner,Author,"""The comments from Korea came at a time when sentiment towards the dollar was already softening,"" said Ian Gunner, a trader at Mellon Financial.",unknown
Mansoor Mohi-Uddin,Author,"Mansoor Mohi-Uddin, chief currency strategist at UBS, said that there was a sentiment in the market that ""central banks from Asia and the Middle East are buying euros"".",unknown
Falconer,Author,Lord Falconer insists that the proposals do not equate to a police state and strike a balance between protecting the public against the threat of terrorism and upholding civil liberties.,unknown
Frederick Forsyth,Author,"But thriller writer Frederick Forsyth tells BBC News of his personal response to the move.



",unknown
Charles Clarke,Politician,Or so says Home Secretary Charles Clarke.,unknown
Blair,Author,"But that is what the Blair government now seeks to do - create a tyranny to defend us from the al-Qaeda tyranny.

",unknown
Adolf Hitler,Author,The mortal threat back then was a scruffy little Austrian called Adolf Hitler.,unknown
Winston Churchill,Author,But in 1946 Winston Churchill told us - from the Baltic to the Adriatic an Iron Curtain has descended across Europe.,unknown
Josef Stalin,Author,"Josef Stalin triggered the Cold War, with the Berlin blockade in 1948.",unknown
Al Fatah,Author,"Al Fatah, Black September, Red Brigades, but most of all for us the IRA and the INLA.",unknown
Blair,Author,Now the Blair government proposes the law system of fascism and communism.,unknown
Frederick Forsyth,Author,I agree with Frederick Forsyth.,unknown
Forsyth,Author,"In this overly 'politically correct' society, it is good to see someone like Mr. Forsyth speak out.",unknown
Forsyth,Author,Forsyth says 3000 died over 30 years or terrorism; 3000 people died in one morning in NY on September 11th 2001.,unknown
Forsyth,Author,Mr Forsyth has done a good job in voicing his opinions.,unknown
Educate,Author,"The people have the right to know and the BBC's role is to Inform, Educate and Entertain...

I agree.",unknown
Entertain,Author,"The people have the right to know and the BBC's role is to Inform, Educate and Entertain...

I agree.",unknown
Frederick Forsyth,Author,I absolutely agree with Frederick Forsyth.,unknown
Mr Blair,Author,"What is really worrying is the enthusiasm of Mr Blair and his government for authoritarian reactions and attempts to manipulate the electorate through fear.

",Author
Bush,Author,"We will have lost the precious freedom which Bush and Blair constantly tells us we have and that they seek to bring to others.

",unknown
Blair,Author,"We will have lost the precious freedom which Bush and Blair constantly tells us we have and that they seek to bring to others.

",unknown
Forsyth,Author,I agree wholeheartedly with Mr Forsyth.,unknown
Magna Carta,Author,"That goes right back to Magna Carta, and ordinary people have spilled their blood to enforce that right against governments who thought they ""knew best"".

",unknown
George Orwell,Author,"When you look at today's Britain, you realise George Orwell was only wrong about one thing: the date.

",unknown
Frederick Forsyth,Author,Frederick Forsyth puts it beautifully.,unknown
Forsyth,Author,I don't usually have much time for Mr Forsyth's largely right wing views but this time he has got it spot on.,unknown
Forsyth,Author,"Mr Forsyth has expressed exactly what my gut fears and reservations were about this proposed legislation, but could not verbalise.",unknown
Forsyth,Author,Mr Forsyth seems to forget that killings in the Troubles occurred on both sides of the religious divide and was carried out by killers from both sides.,unknown
Forsyth,Author,Forsyth is wrong.,unknown
Forsyth,Author,"People like Forsyth can only see one side of any argument and for him it is the side that is opposite New Labour and Tony Blair.

",unknown
Tony Blair,Author,"People like Forsyth can only see one side of any argument and for him it is the side that is opposite New Labour and Tony Blair.

",unknown
Forsyth,Author,I agree wholeheartedly with Mr Forsyth.,unknown
Forsyth,Author,I am slightly older than Mr Forsyth and therefore have lived through the same history as him.,unknown
Forsyth,Author,"Mr Forsyth has forgotten one key point; the terrorists who threaten Britain today are well aware that Hitler, Stalin, and the IRA all failed.",unknown
Hitler,Author,"Mr Forsyth has forgotten one key point; the terrorists who threaten Britain today are well aware that Hitler, Stalin, and the IRA all failed.",unknown
Stalin,Author,"Mr Forsyth has forgotten one key point; the terrorists who threaten Britain today are well aware that Hitler, Stalin, and the IRA all failed.",unknown
Forsythe,Author,"It is this fear which enables terrorists to succeed in the end, and terrorists can come in all forms, as Mr. Forsythe's opening comments suggest.

",unknown
Thomas Jefferson,Author,I am reminded of a quote attributed to Thomas Jefferson.,unknown
Frederick Forsyth's,Author,Frederick Forsyth's rhetoric is absurd and his conclusions laughable.,unknown
Frederick Forsyth,Author,"It is Frederick Forsyth who is the extremist, because he does not appreciate the need for balance.

",unknown
Forsyth,Author,"I rarely find myself agreeing with My Forsyth, but in this instance I think he is correct.",unknown
Churchill,Author,"Our democratic system is not perfect, but as Churchill points out it is ""better than all the others that have been tried"".",unknown
Forsyth,Author,"I do not usually agree with Mr. Forsyth, but he is spot on here.",unknown
Frederick Forsyth,Author,"Although, in principle I agree with him, Frederick Forsyth fails to address one key point- al-Qaeda attacks (though obviously there have been none yet in the UK) seek to kill the maximum number of people.",unknown
Forsyth,Author,"Yes, I agree with Mr. Forsyth's views.",unknown
Forsyth,Author,Mr Forsyth is a wonderful writer and should keep his fiction where it belongs.,unknown
Forsyth,Author,The British Government is not going down the road that Mr Forsyth suggests.,unknown
Tony Blair,Author,"Sadly comments such as his will make a lot of people believe that they are governed by people who are fast becoming tyrants instead of being genuinely committed to stopping tyranny, even if the method employed to do that is at the moment alien to the British people who have lived in a democracy protected by Tony Blair and others of like mind who, Mr. Forsyth seems to be putting along side the 'scruffy little Austrian.'

",unknown
Forsyth,Author,"Sadly comments such as his will make a lot of people believe that they are governed by people who are fast becoming tyrants instead of being genuinely committed to stopping tyranny, even if the method employed to do that is at the moment alien to the British people who have lived in a democracy protected by Tony Blair and others of like mind who, Mr. Forsyth seems to be putting along side the 'scruffy little Austrian.'

",unknown
Thomas Hobbes,Author,Thomas Hobbes would be smiling in his grave at Labour's propositions.,unknown
Hobbes,Author,"But as Forsythe criticises this government, Hobbes has been criticised by most subsequent philosophers for arguing his way into the hands of the totalitarians.",unknown
Forsyth,Author,I agree with Mr Forsyth's views.,unknown
Frederick,Author,Of course Frederick is wrong about Britain winning the war against the IRA and he's wrong too about the country not becoming a tyranny.,unknown
Forsyth,Author,I see that opinion on Mr Forsyth's remarks are divided.,unknown
Frederick Forsyth,Author,"I never thought it possible for me to agree with a single word uttered by Frederick Forsyth, but I'm in wholehearted agreement with him on this one.",unknown
Forsyth,Author,"Like many of your respondents, I wouldn't usually think of Mr Forsyth as someone whose views I share, but in the instance of opposing Charles Clark's proposals for house arrest, I agree wholeheartedly with Mr Forsyth/

I agree with Mr Forsyth.",unknown
Charles Clark's,Author,"Like many of your respondents, I wouldn't usually think of Mr Forsyth as someone whose views I share, but in the instance of opposing Charles Clark's proposals for house arrest, I agree wholeheartedly with Mr Forsyth/

I agree with Mr Forsyth.",unknown
Forsyth,Author,"Like many of your respondents, I wouldn't usually think of Mr Forsyth as someone whose views I share, but in the instance of opposing Charles Clark's proposals for house arrest, I agree wholeheartedly with Mr Forsyth/

I agree with Mr Forsyth.",unknown
Forsyth,Author,"I agree in many ways with what Mr Forsyth has said - if we are to be respected and have influence within the world we must be seen to be walking the walk as well as talking the talk - how can we accuse countries such as Zimbabwe and Burma of human rights abuses when we are locking up people who may be totally innocent, it is hypocrisy of the highest order.",unknown
Forsyth,Author,"Mr Forsyth links ""Islamic fundamentalism"" to the new ""threat"".",unknown
Prophet Muhammad,Author,It should be pointed out that a Muslim who adheres to the true fundamentals of the Qur'aan and the teachings of the last Prophet Muhammad is an Islamic Fundamentalist.,unknown
Forsyth,Author,"The people who Mr Forsyth labels the new ""threat"" are those who do not follow the correct teachings of Islam.",unknown
Frederick Forsyth,Author,"Being eight years older than Frederick Forsyth and a survivor of the Blitz on London, it is easy to agree with him, he is absolutely spot on.",unknown
Thatcher,Politician,"Notwithstanding these and the attempted and nearly successful assassination attempts on Prime Minister Thatcher in Brighton and on later occupants of 10 Downing Street, there was no retaliatory blitz on Belfast or Dublin as there has been on Afghanistan and Iraq.",unknown
Winston Churchill,Author,"We have to see off these latest attempts on our liberties including ID cards, which Winston Churchill decided had to go since, he said, the average Bobby on the beat could not be relied on to not be tempted to take undue advantage against the citizen going about their lawful activities (incidentally I can still remember my old ID card number).",unknown
Bobby,Author,"We have to see off these latest attempts on our liberties including ID cards, which Winston Churchill decided had to go since, he said, the average Bobby on the beat could not be relied on to not be tempted to take undue advantage against the citizen going about their lawful activities (incidentally I can still remember my old ID card number).",unknown
Forsyth,Author,What can I add to Mr. Forsyth's eloquently put arguments... except applause!,unknown
Lewis-Francis,Author,"Lewis-Francis eyeing world gold

Mark Lewis-Francis says his Olympic success has made him determined to bag World Championship 100m gold in 2005.

",unknown
Mark Lewis-Francis,Author,"Lewis-Francis eyeing world gold

Mark Lewis-Francis says his Olympic success has made him determined to bag World Championship 100m gold in 2005.

",unknown
Maurice Greene,Author,The 22-year-old pipped Maurice Greene on the last leg of the 4x100m relay in Athens to take top honours for Team GB.,unknown
Lewis-Francis,Author,Lewis-Francis has still to decided what events will feature in his build-up to the worlds - with one exception.,unknown
Jason Gardener,Author,"He has confirmed his participation in the Norwich Union Grand Prix in Birmingham on 18 February, where he will take on another member of Britain's victorious men's relay team - Jason Gardener - over 60m. He added: ""It's a bit too early to make any predictions for Helsinki, but I have my eyes open and I know I can be the best in the world.""",unknown
Helsinki,Author,"He has confirmed his participation in the Norwich Union Grand Prix in Birmingham on 18 February, where he will take on another member of Britain's victorious men's relay team - Jason Gardener - over 60m. He added: ""It's a bit too early to make any predictions for Helsinki, but I have my eyes open and I know I can be the best in the world.""",unknown
Tony Jordan,TV Personality,"EastEnders' head writer Tony Jordan and music mogul Simon Fuller are involved in the project, according to reports in the Hollywood Reporter trade newspaper.",unknown
Simon Fuller,TV Personality,"EastEnders' head writer Tony Jordan and music mogul Simon Fuller are involved in the project, according to reports in the Hollywood Reporter trade newspaper.",unknown
Emmer,TV Personality,"At home, EastEnders has been facing its own ratings battle, recently losing out to rival ITV soap Emmer dale.",unknown
Peter Jamieson,Author,"BPI chairman Peter Jamieson said: ""The inclusion of download formats in the Official UK Singles Chart is the most significant development in the charts for 20 years.

",unknown
Gerard Jugnot,Film Actor,"Jugnot 'tops French actor league'

Actor Gerard Jugnot - star of the Oscar-nominated film The Chorus - has beaten Gerard Depardieu to become France's best-paid actor of 2004.

",unknown
Oscar,Film Actor,"Jugnot 'tops French actor league'

Actor Gerard Jugnot - star of the Oscar-nominated film The Chorus - has beaten Gerard Depardieu to become France's best-paid actor of 2004.

",unknown
Chorus,Film Actor,"Jugnot 'tops French actor league'

Actor Gerard Jugnot - star of the Oscar-nominated film The Chorus - has beaten Gerard Depardieu to become France's best-paid actor of 2004.

",unknown
Gerard Depardieu,Film Actor,"Jugnot 'tops French actor league'

Actor Gerard Jugnot - star of the Oscar-nominated film The Chorus - has beaten Gerard Depardieu to become France's best-paid actor of 2004.

",unknown
Euros,Author,"Jugnot made 5.45m Euros (Â£3.77m) last year, according to a table drawn up by France's Le Figaro newspaper.",unknown
Chorus,Film Actor,"In The Chorus (Les Choristes), Jugnot plays an inspiring music teacher at a school for troubled boys in 1949.",unknown
Depardieu,Film Actor,"Despite starring in five films in 2004, Depardieu made 3.35m Euros (Â£2.31m) putting him third place in the chart.",unknown
Euros,Film Actor,"Despite starring in five films in 2004, Depardieu made 3.35m Euros (Â£2.31m) putting him third place in the chart.",unknown
Le Figaro,Film Actor,"""His name [Depardieu] is no longer sufficient to guarantee the success of a film,"" said Le Figaro newspaper.",unknown
Chorus,Author,"The Chorus, which Jugnot also co-produced, has drawn an audience of nearly nine million people since its release last year.

",unknown
Godzilla,Film Actor,"Godzilla star Jean Reno was France's second best-paid actor in 2004, earning 3.55m Euros (Â£2.45m) .",unknown
Jean Reno,Film Actor,"Godzilla star Jean Reno was France's second best-paid actor in 2004, earning 3.55m Euros (Â£2.45m) .",unknown
Oscar,Film Actor,His roles include a recent uncredited cameo in the Oscar-nominated Hotel Rwanda.,unknown
Audrey Tautou,Author,"The highest-ranking woman on Le Figaro's list was Audrey Tautou in 10th place, earning 885,000 Euros (Â£611,000).",unknown
Euros,Author,"The highest-ranking woman on Le Figaro's list was Audrey Tautou in 10th place, earning 885,000 Euros (Â£611,000).",unknown
Tom Hanks,Film Actor,She starred in Jean-Pierre Jeunet's A Very Long Engagement (Un Long Dimanche de Fiancailles) and is also lined up to co-star with Tom Hanks in Ron Howard's The Da Vinci Code.,unknown
Ron Howard's,Film Actor,She starred in Jean-Pierre Jeunet's A Very Long Engagement (Un Long Dimanche de Fiancailles) and is also lined up to co-star with Tom Hanks in Ron Howard's The Da Vinci Code.,unknown
Chorus,Musician,The Chorus is nominated for best foreign film at Sunday's Oscar ceremony.,unknown
Oscar,Musician,The Chorus is nominated for best foreign film at Sunday's Oscar ceremony.,unknown
Kenteris,Author,"Kenteris denies faking road crash

Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.

Kenteris and fellow sprinter Katerina Thanou are set to learn if they will face criminal charges this week.",unknown
Kostas Kenteris,Author,"Kenteris denies faking road crash

Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.

Kenteris and fellow sprinter Katerina Thanou are set to learn if they will face criminal charges this week.",unknown
Kenteris,Author,"Kenteris denies faking road crash

Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.

Kenteris and fellow sprinter Katerina Thanou are set to learn if they will face criminal charges this week.",unknown
Katerina Thanou,Author,"Kenteris denies faking road crash

Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.

Kenteris and fellow sprinter Katerina Thanou are set to learn if they will face criminal charges this week.",unknown
Kenteris,Author,"Kenteris insisted: ""The accident happened.",unknown
Kenteris,Author,"Kenteris, speaking on Greece's Alter Television station, also claimed that he asked to be tested for banned substances in hospital after the crash.",unknown
Kenteris,Author,"""

After a drama which dominated newspaper headlines in Greece as Athens prepared for the start of the Athens Games, Kenteris and Thanou eventually withdrew.",unknown
Thanou,Author,"""

After a drama which dominated newspaper headlines in Greece as Athens prepared for the start of the Athens Games, Kenteris and Thanou eventually withdrew.",unknown
Kenteris,Author,But Kenteris has continually protested his innocence - and on Sunday blamed Greek Olympic Committee officials and his former coach Christos Tzekos for failing to inform him of the test.,unknown
Christos Tzekos,Author,But Kenteris has continually protested his innocence - and on Sunday blamed Greek Olympic Committee officials and his former coach Christos Tzekos for failing to inform him of the test.,unknown
Kenteris,Author,"Kenteris, a Greek hero after winning gold in the 200m at the 2000 Olympics in Sydney, also confirmed that he was due to light the flame at the Athens opening ceremony.",unknown
Vagina Monologues,Author,"Uganda bans Vagina Monologues

Uganda's authorities have banned the play The Vagina Monologues, due to open in the capital, Kampala this weekend.

",Author
Kefa Ssempgani,Author,"""The play is obscene and pornographic although it was under the guise of women's liberation,"" MP Kefa Ssempgani told parliament.

",unknown
Eve Ensler,Author,"But the work's author, US playwright Eve Ensler, says it is all about women's empowerment.",Author
Ms Ensler,Author,"""There is obviously some fear of the vagina and saying the word vagina,"" Ms Ensler told the BBC.",unknown
Sarah Mukasa,Author,"""I'm extremely outraged at the hypocrisy,"" the play's organiser in Uganda, Sarah Mukasa, told the BBC's Focus on Africa programme.",unknown
Robert Napier,Author,"Armed robber Robert Napier, 25, won Â£2,450 after he claimed he suffered an outbreak of the skin complaint, eczema, when slopping out at Barlinnie Prison.",unknown
Lord Cullen,Author,"Judge Lord Cullen, sitting with Lord Osborne and Lord Hamilton, ruled that alleged human rights breaches involving degrading treatment should be dealt with on the normal civil standard.",unknown
Osborne,Author,"Judge Lord Cullen, sitting with Lord Osborne and Lord Hamilton, ruled that alleged human rights breaches involving degrading treatment should be dealt with on the normal civil standard.",unknown
Hamilton,Author,"Judge Lord Cullen, sitting with Lord Osborne and Lord Hamilton, ruled that alleged human rights breaches involving degrading treatment should be dealt with on the normal civil standard.",unknown
Tony Kelly,Author,Napier's lawyer Tony Kelly believes the action will soon be followed by others.,unknown
Kelly,Author,"Mr Kelly said: ""There are hundreds of people still undergoing slopping out, overcrowding and poor regime and those people will certainly be heartened by today's judgement.""",unknown
Kenny MacAskill,Politician,"Scottish National Party Justice Minister Kenny MacAskill said that the slopping out case had been ""a fiasco from start to finish"".",unknown
Lib Dem Norman Baker,Politician,"But Lib Dem Norman Baker accused ministers of turning Britain into a ""nuclear dumpsite"".

",unknown
Patricia Hewitt,Author,"Trade Secretary Patricia Hewitt said the new arrangements, revealed in a Commons written statement, would raise up to Â£680m for Britain's nuclear clean-up programme, under the new Nuclear Decommissioning Agency.",unknown
Baker,Politician,"Mr Baker, the Lib Dem environment spokesman, said: ""I have been warning for months that this would happen and raised it with government several times.",unknown
John Underwood,Author,"John Underwood, the man behind the Live-Shot website, said the idea for the remote-control hunting came to him a year ago when he was watching deer via a webcam on another net site.",unknown
Underwood,Author,"A little light bulb went off in my head,"" Mr Underwood told the Reuters news agency.",unknown
Underwood,Author,Mr Underwood is planning to put one of these rigs in a concealed location in a small reserve on his Texas ranch and let people shoot at a variety of game animals.,unknown
blackbuck antelope,Author,"Species that can be shot will include barbary, Corsican and mouflon sheep, blackbuck antelope and wild pigs.",unknown
Underwood,Author,Mr Underwood said that internet hunting could be popular with disabled hunters unable to get out in the woods or distant hunters who cannot afford a trip to Texas.,unknown
Mike Berger,Author,"Mike Berger, wildlife director of the Texas Parks and Wildlife Department, said current hunting statutes did not cover net or remote hunting.",unknown
Underwood,Author,"As such there was nothing to stop Mr Underwood letting people hunt ""unregulated"" imported animals and wild pigs.",unknown
Underwood,Author,Mr Underwood also lets people come in person to the ranch to hunt and shoot game animals.,unknown
Medal Of Honor,Author,"Big war games battle it out

The arrival of new titles in the popular Medal Of Honor and Call of Duty franchises leaves fans of wartime battle titles spoilt for choice.

",unknown
Medal of Honor,Author,"On a near-identical note, Medal of Honor: Pacific Assault does all it can to make you feel part of a tight-knit team and plum in the middle of all-out action.",unknown
Pearl Harbour,Author,"Its arenas are the war's Pacific battles, including Guadalcanal and Pearl Harbour.",unknown
Jim Taylor,Author,"It was named best film while Alexander Payne won best director and best screenplay, along with writing partner Jim Taylor.",unknown
Paul Giamatti,Film Actor,"It also won acting awards for stars Paul Giamatti, Thomas Haden Church and Virginia Madsen.",unknown
Thomas Haden Church,Film Actor,"It also won acting awards for stars Paul Giamatti, Thomas Haden Church and Virginia Madsen.",unknown
Virginia Madsen,Film Actor,"It also won acting awards for stars Paul Giamatti, Thomas Haden Church and Virginia Madsen.",unknown
Sandino Moreno,Film Actor,"Other winners included Catalina Sandino Moreno, who took best actress for her role as a drug smuggler in the Colombian drama Maria Full of Grace.",unknown
Maria Full,Film Actor,"Other winners included Catalina Sandino Moreno, who took best actress for her role as a drug smuggler in the Colombian drama Maria Full of Grace.",unknown
Moreno,TV Personality,Moreno is also nominated for best actress at the Oscars.,unknown
Joshua Marston,Author,The best first screenplay award went to Joshua Marston for Maria Full of Grace.,unknown
Maria Full,Author,The best first screenplay award went to Joshua Marston for Maria Full of Grace.,unknown
Zach Braff,Film Actor,"Scrubs star Zach Braff won the award for best first feature for Garden State, which he wrote, directed and starred in.",unknown
Metallica,Author,"Oscar-nominated euthanasia film The Sea Inside from Spain won best foreign film, while Metallica: Some Kind Of Monster was awarded best documentary.",unknown
Actor Rodrigo de la Serna,Film Actor,Actor Rodrigo de la Serna took the best debut performance prize for The Motorcycle Diaries.,unknown
Oscar,Author,"Last year's big winner, Lost In Translation, went on to win the Oscar for best original screenplay, for writer-director Sofia Coppola.",unknown
Sofia Coppola,Author,"Last year's big winner, Lost In Translation, went on to win the Oscar for best original screenplay, for writer-director Sofia Coppola.",unknown
Donald Nicolaisen,Author,"The watchdog's chief accountant Donald Nicolaisen said that ""Fannie Mae's methodology of assessing, measuring and documenting hedge ineffectiveness was inadequate and was not supported"" by generally accepted accounting principles.",unknown
Keane won Sound,Musician,Rock band Keane won Sound of 2004 while US rapper 50 Cent topped Sound of 2003.,unknown
Sam Endicott,Musician,"Singer Sam Endicott said he felt ""great"" about coming top of the Sound of 2005 list.",unknown
Paul Connolly,Author,"One of the experts to tip The Bravery was The Times' music critic Paul Connolly, who said they were ""spiky but in love with pop"".",unknown
Chris Hawkins,Musician,"Chris Hawkins, host of BBC 6 Music's chart show, said the band had ""great guitars and a mastery of the electro-clash sound"".",unknown
Nigel Harding,Musician,"Nigel Harding, head of music at London rock radio station Xfm, said every track from their live set ""sounded like a potential single"".

",unknown
Xfm,Musician,"Nigel Harding, head of music at London rock radio station Xfm, said every track from their live set ""sounded like a potential single"".

",unknown
Harding,Musician,"Unconditional reached the summit of the station's listeners' chart within a fortnight of its first play, which Mr Harding described as ""an unheard of achievement for a debut single"".

",unknown
Ted Kessler,Musician,"Q magazine reviews editor Ted Kessler said they were ""pretty-boy New York clothes horses"" with ""an unusually nimble ear for concise, yearning pop in the mould of Duran Duran or The Strokes"".",unknown
Nelson,Musician,"Other pundits to take part in the survey included BBC Radio 1 DJ Trevor Nelson, NME editor Conor McNicholas, Top of the Pops presenter Fearne Cotton, Glastonbury organiser Emily Eavis and BBC Radio 2 music editor Colin Martin.",unknown
McNicholas,Musician,"Other pundits to take part in the survey included BBC Radio 1 DJ Trevor Nelson, NME editor Conor McNicholas, Top of the Pops presenter Fearne Cotton, Glastonbury organiser Emily Eavis and BBC Radio 2 music editor Colin Martin.",unknown
Fearne Cotton,Musician,"Other pundits to take part in the survey included BBC Radio 1 DJ Trevor Nelson, NME editor Conor McNicholas, Top of the Pops presenter Fearne Cotton, Glastonbury organiser Emily Eavis and BBC Radio 2 music editor Colin Martin.",unknown
Emily Eavis,Musician,"Other pundits to take part in the survey included BBC Radio 1 DJ Trevor Nelson, NME editor Conor McNicholas, Top of the Pops presenter Fearne Cotton, Glastonbury organiser Emily Eavis and BBC Radio 2 music editor Colin Martin.",unknown
